Datetime,temperature_c,relative_humidity_pct,cooling_degree_days,heating_degree_days
2014-08-05 13:00:00,32.91,69.4,14.91,0.0
2014-08-05 14:00:00,32.31,71.7,14.31,0.0
2014-08-05 15:00:00,33.91,66.4,15.91,0.0
2014-08-05 16:00:00,35.3,64.2,17.3,0.0
2014-08-05 17:00:00,31.59,61.4,13.59,0.0
2014-08-05 18:00:00,30.72,66.0,12.72,0.0
2014-08-05 19:00:00,32.84,68.3,14.84,0.0
2014-08-05 20:00:00,30.05,62.9,12.05,0.0
2014-08-05 21:00:00,26.4,73.7,8.4,0.0
2014-08-05 22:00:00,26.8,69.6,8.8,0.0
2014-08-05 23:00:00,23.66,75.9,5.66,0.0
2014-08-06 00:00:00,22.45,73.5,4.45,0.0
2014-08-06 01:00:00,22.85,75.5,4.85,0.0
2014-08-06 02:00:00,18.42,72.0,0.42,0.0
2014-08-06 03:00:00,18.57,73.6,0.57,0.0
2014-08-06 04:00:00,20.85,77.3,2.85,0.0
2014-08-06 05:00:00,20.59,73.8,2.59,0.0
2014-08-06 06:00:00,23.85,69.1,5.85,0.0
2014-08-06 07:00:00,22.79,72.9,4.79,0.0
2014-08-06 08:00:00,23.21,72.8,5.21,0.0
2014-08-06 09:00:00,29.81,75.5,11.81,0.0
2014-08-06 10:00:00,28.19,73.3,10.19,0.0
2014-08-06 11:00:00,30.05,67.3,12.05,0.0
2014-08-06 12:00:00,28.5,64.3,10.5,0.0
2014-08-06 13:00:00,30.96,64.8,12.96,0.0
2014-08-06 14:00:00,32.69,63.1,14.69,0.0
2014-08-06 15:00:00,30.6,67.1,12.6,0.0
2014-08-06 16:00:00,33.16,69.4,15.16,0.0
2014-08-06 17:00:00,30.86,70.7,12.86,0.0
2014-08-06 18:00:00,30.54,64.9,12.54,0.0
2014-08-06 19:00:00,28.84,65.5,10.84,0.0
2014-08-06 20:00:00,31.93,67.0,13.93,0.0
2014-08-06 21:00:00,27.15,62.3,9.15,0.0
2014-08-06 22:00:00,23.85,66.5,5.85,0.0
2014-08-06 23:00:00,25.91,72.3,7.91,0.0
2014-08-07 00:00:00,21.01,75.0,3.01,0.0
2014-08-07 01:00:00,22.71,76.3,4.71,0.0
2014-08-07 02:00:00,18.26,71.7,0.26,0.0
2014-08-07 03:00:00,19.21,73.0,1.21,0.0
2014-08-07 04:00:00,22.14,73.7,4.14,0.0
2014-08-07 05:00:00,23.66,72.8,5.66,0.0
2014-08-07 06:00:00,23.52,76.3,5.52,0.0
2014-08-07 07:00:00,24.14,67.2,6.14,0.0
2014-08-07 08:00:00,25.13,66.7,7.13,0.0
2014-08-07 09:00:00,24.44,68.8,6.44,0.0
2014-08-07 10:00:00,27.23,63.3,9.23,0.0
2014-08-07 11:00:00,29.02,59.9,11.02,0.0
2014-08-07 12:00:00,32.89,60.5,14.89,0.0
2014-08-07 13:00:00,32.48,64.7,14.48,0.0
2014-08-07 14:00:00,29.24,67.7,11.24,0.0
